Date,Generated (kWh),Efficiency,System Name,Location,System Size (kW),Solar_Irradiance,Temperature_2m,Cloud_Cover
3/7/2024,1067.84,2.142450142,Schipper Power- Three,Netherlands,498.42,9.26,5.5,49
3/7/2024,1485.35,5.877453308,Wannon Water,Australia,252.72,22.9,16.9,48
3/7/2024,1613,3.198017348,Pentaari,Greece,504.375,13.86,6,66
3/7/2024,167.536,1.551259259,Nugali,Brazil,108,16.56,23.9,94
3/7/2024,879.171,1.733723132,siris-D-500kW,Greece,507.1,6.76,8.1,88
3/7/2024,2053.201,4.892884208,MAWC,Maldives,419.63,25.83,28.5,50
3/8/2024,2645,5.244114002,Pentaari,Greece,504.375,16.62,4.7,17
3/8/2024,71.31,1.097076923,Feuerwehr,Switzerland,65,13.5,4,48
3/8/2024,1555.424,6.15473251,Wannon Water,Australia,252.72,23.73,17,24
3/8/2024,1504.067,3.584269475,MAWC,Maldives,419.63,25.66,28.5,66
3/8/2024,2690.92,5.306487872,siris-D-500kW,Greece,507.1,15,7.9,45
3/8/2024,701.856,6.23872,DeCrescent 178kW PV,United States,112.5,19.19,26.2,92
3/8/2024,85.614,0.932614379,HLT1 Klagenfurt Lastenstrasse,Austria,91.8,4.92,2.9,100
3/8/2024,24.253,0.224564815,Nugali,Brazil,108,7.77,23.9,100
3/8/2024,1259.62,2.527226034,Schipper Power- Three,Netherlands,498.42,13.47,5,0
3/8/2024,142.501,2.85002,Wray Farms,United Kingdom,50,9.63,6.4,55
3/9/2024,1965.634,4.684207516,MAWC,Maldives,419.63,25.26,28.7,55
3/9/2024,410.674,0.809848156,siris-D-500kW,Greece,507.1,6.4,8,69
3/9/2024,1077.85,2.162533606,Schipper Power- Three,Netherlands,498.42,12.33,7.3,58
3/9/2024,157.545,3.1509,Wray Farms,United Kingdom,50,11.41,8.2,80
3/9/2024,1006,1.994547708,Pentaari,Greece,504.375,6.24,5.2,81
3/9/2024,139.629,2.148138462,Feuerwehr,Switzerland,65,14.5,7.7,80
3/9/2024,198.313,1.762782222,DeCrescent 178kW PV,United States,112.5,15.35,25.1,99
3/9/2024,98.727,1.075457516,HLT1 Klagenfurt Lastenstrasse,Austria,91.8,5.47,4.3,100
3/9/2024,484.383,4.485027778,Nugali,Brazil,108,17.87,25.6,95
3/9/2024,1446.336,5.723076923,Wannon Water,Australia,252.72,23.69,26.1,10
3/10/2024,209.171,1.859297778,DeCrescent 178kW PV,United States,112.5,23.26,26.8,94
3/10/2024,21.455,0.4291,Wray Farms,United Kingdom,50,3.13,7.7,100
3/10/2024,49.479,0.761215385,Feuerwehr,Switzerland,65,7.28,7.7,97
3/10/2024,975.273,1.923236048,siris-D-500kW,Greece,507.1,12.43,9.2,70
3/10/2024,1124.709,4.45041548,Wannon Water,Australia,252.72,20.49,24,55
3/10/2024,57.503,0.626394336,HLT1 Klagenfurt Lastenstrasse,Austria,91.8,5.81,6,99
3/10/2024,903.38,1.81248746,Schipper Power- Three,Netherlands,498.42,9.92,8.5,100
3/10/2024,677.489,6.273046296,Nugali,Brazil,108,24.88,26.6,73
3/10/2024,1695,3.360594796,Pentaari,Greece,504.375,15.64,7,95
3/10/2024,2051.733,4.889385888,MAWC,Maldives,419.63,24.56,29.1,22
3/11/2024,176.49,0.354098953,Schipper Power- Three,Netherlands,498.42,3.13,7.2,100
3/11/2024,153.696,2.364553846,Feuerwehr,Switzerland,65,14.28,6.5,40
3/11/2024,644.226,5.965055556,Nugali,Brazil,108,23.69,24.8,48
3/11/2024,1233.127,4.879419911,Wannon Water,Australia,252.72,20.71,27.6,81
3/11/2024,20.533,0.41066,Wray Farms,United Kingdom,50,3.64,7.2,100
3/11/2024,66.449,0.723845316,HLT1 Klagenfurt Lastenstrasse,Austria,91.8,4.77,5.9,100
