Date,Generated,Efficiency,System Name,Location,System Size (kW)
11/2/2024,30.284kWh,0.606kWh/kW,Wray Farms,United Kingdom,50
11/1/2024,21.395kWh,0.428kWh/kW,Wray Farms,United Kingdom,50
10/31/2024,4.885kWh,0.098kWh/kW,Wray Farms,United Kingdom,50
10/26/2024,41.938kWh,0.839kWh/kW,Wray Farms,United Kingdom,50
10/25/2024,22.122kWh,0.442kWh/kW,Wray Farms,United Kingdom,50
10/24/2024,128.133kWh,2.563kWh/kW,Wray Farms,United Kingdom,50
10/23/2024,81.187kWh,1.624kWh/kW,Wray Farms,United Kingdom,50
10/22/2024,52.175kWh,1.044kWh/kW,Wray Farms,United Kingdom,50
10/21/2024,37.322kWh,0.746kWh/kW,Wray Farms,United Kingdom,50
10/20/2024,37.887kWh,0.758kWh/kW,Wray Farms,United Kingdom,50
10/19/2024,57.575kWh,1.152kWh/kW,Wray Farms,United Kingdom,50
10/18/2024,99.598kWh,1.992kWh/kW,Wray Farms,United Kingdom,50
10/17/2024,112.664kWh,2.253kWh/kW,Wray Farms,United Kingdom,50
10/16/2024,30.120kWh,0.602kWh/kW,Wray Farms,United Kingdom,50
10/15/2024,30.744kWh,0.615kWh/kW,Wray Farms,United Kingdom,50
10/14/2024,109.237kWh,2.185kWh/kW,Wray Farms,United Kingdom,50
10/13/2024,75.698kWh,1.514kWh/kW,Wray Farms,United Kingdom,50
10/12/2024,50.278kWh,1.006kWh/kW,Wray Farms,United Kingdom,50
5/12/2024,196.633kWh,3.933kWh/kW,Wray Farms,United Kingdom,50
5/11/2024,249.873kWh,4.997kWh/kW,Wray Farms,United Kingdom,50
5/10/2024,250.559kWh,5.011kWh/kW,Wray Farms,United Kingdom,50
5/9/2024,247.556kWh,4.951kWh/kW,Wray Farms,United Kingdom,50
5/8/2024,235.737kWh,4.715kWh/kW,Wray Farms,United Kingdom,50
5/7/2024,140.598kWh,2.812kWh/kW,Wray Farms,United Kingdom,50
5/6/2024,238.687kWh,4.774kWh/kW,Wray Farms,United Kingdom,50
5/5/2024,221.798kWh,4.436kWh/kW,Wray Farms,United Kingdom,50
5/4/2024,238.162kWh,4.763kWh/kW,Wray Farms,United Kingdom,50
5/3/2024,35.367kWh,0.707kWh/kW,Wray Farms,United Kingdom,50
5/2/2024,248.737kWh,4.975kWh/kW,Wray Farms,United Kingdom,50
5/1/2024,225.019kWh,4.500kWh/kW,Wray Farms,United Kingdom,50
4/30/2024,234.263kWh,4.685kWh/kW,Wray Farms,United Kingdom,50
4/29/2024,212.159kWh,4.243kWh/kW,Wray Farms,United Kingdom,50
4/28/2024,60.841kWh,1.217kWh/kW,Wray Farms,United Kingdom,50
4/27/2024,99.509kWh,1.990kWh/kW,Wray Farms,United Kingdom,50
