Date,Generated,Efficiency,System Name,Location,System Size (kW)
10/19/2024,33.057kWh,0.509kWh/kW,Feuerwehr,Switzerland,65
10/18/2024,39.417kWh,0.606kWh/kW,Feuerwehr,Switzerland,65
10/17/2024,87.159kWh,1.341kWh/kW,Feuerwehr,Switzerland,65
10/16/2024,39.162kWh,0.602kWh/kW,Feuerwehr,Switzerland,65
10/15/2024,49.416kWh,0.760kWh/kW,Feuerwehr,Switzerland,65
10/14/2024,92.955kWh,1.430kWh/kW,Feuerwehr,Switzerland,65
10/13/2024,91.065kWh,1.401kWh/kW,Feuerwehr,Switzerland,65
10/12/2024,81.840kWh,1.259kWh/kW,Feuerwehr,Switzerland,65
10/11/2024,111.033kWh,1.708kWh/kW,Feuerwehr,Switzerland,65
10/10/2024,108.258kWh,1.666kWh/kW,Feuerwehr,Switzerland,65
10/9/2024,123.765kWh,1.904kWh/kW,Feuerwehr,Switzerland,65
10/8/2024,26.355kWh,0.405kWh/kW,Feuerwehr,Switzerland,65
10/7/2024,114.027kWh,1.754kWh/kW,Feuerwehr,Switzerland,65
10/6/2024,95.337kWh,1.467kWh/kW,Feuerwehr,Switzerland,65
10/5/2024,109.839kWh,1.690kWh/kW,Feuerwehr,Switzerland,65
10/4/2024,55.293kWh,0.851kWh/kW,Feuerwehr,Switzerland,65
10/3/2024,88.353kWh,1.359kWh/kW,Feuerwehr,Switzerland,65
10/2/2024,96.390kWh,1.483kWh/kW,Feuerwehr,Switzerland,65
10/1/2024,43.758kWh,0.673kWh/kW,Feuerwehr,Switzerland,65
9/30/2024,128.496kWh,1.977kWh/kW,Feuerwehr,Switzerland,65
9/29/2024,168.195kWh,2.588kWh/kW,Feuerwehr,Switzerland,65
9/28/2024,61.227kWh,0.942kWh/kW,Feuerwehr,Switzerland,65
9/27/2024,54.273kWh,0.835kWh/kW,Feuerwehr,Switzerland,65
9/26/2024,35.382kWh,0.544kWh/kW,Feuerwehr,Switzerland,65
9/25/2024,137.481kWh,2.115kWh/kW,Feuerwehr,Switzerland,65
9/24/2024,164.835kWh,2.536kWh/kW,Feuerwehr,Switzerland,65
9/23/2024,78.234kWh,1.204kWh/kW,Feuerwehr,Switzerland,65
9/22/2024,159.687kWh,2.457kWh/kW,Feuerwehr,Switzerland,65
9/21/2024,197.169kWh,3.033kWh/kW,Feuerwehr,Switzerland,65
9/20/2024,201.663kWh,3.103kWh/kW,Feuerwehr,Switzerland,65
9/19/2024,173.433kWh,2.668kWh/kW,Feuerwehr,Switzerland,65
9/18/2024,199.704kWh,3.072kWh/kW,Feuerwehr,Switzerland,65
9/17/2024,79.125kWh,1.217kWh/kW,Feuerwehr,Switzerland,65
9/16/2024,61.395kWh,0.945kWh/kW,Feuerwehr,Switzerland,65
9/15/2024,234.684kWh,3.611kWh/kW,Feuerwehr,Switzerland,65
9/14/2024,115.275kWh,1.773kWh/kW,Feuerwehr,Switzerland,65
9/13/2024,124.773kWh,1.920kWh/kW,Feuerwehr,Switzerland,65
9/12/2024,144.201kWh,2.218kWh/kW,Feuerwehr,Switzerland,65
9/11/2024,57.156,0.879323077,Feuerwehr,Switzerland,65
9/10/2024,164.463,2.5302,Feuerwehr,Switzerland,65
9/9/2024,93.477,1.438107692,Feuerwehr,Switzerland,65
9/8/2024,51.354,0.790061538,Feuerwehr,Switzerland,65
9/7/2024,229.947,3.537646154,Feuerwehr,Switzerland,65
9/6/2024,223.863,3.444046154,Feuerwehr,Switzerland,65
9/5/2024,111.309,1.712446154,Feuerwehr,Switzerland,65
9/4/2024,162.909,2.506292308,Feuerwehr,Switzerland,65
9/3/2024,189.465,2.914846154,Feuerwehr,Switzerland,65
9/2/2024,170.718,2.626430769,Feuerwehr,Switzerland,65
9/1/2024,213.948,3.291507692,Feuerwehr,Switzerland,65
8/31/2024,219.483,3.376661538,Feuerwehr,Switzerland,65
8/30/2024,214.62,3.301846154,Feuerwehr,Switzerland,65
8/29/2024,225.843,3.474507692,Feuerwehr,Switzerland,65
8/28/2024,225.117,3.463338462,Feuerwehr,Switzerland,65
8/27/2024,146.682,2.256646154,Feuerwehr,Switzerland,65
